date,portfolio_value,market_state,position_ratio,holdings,peak,drawdown
20200803,9436.559018175452,neutral,1.0,"002449.SZ,600827.SH,002382.SZ,600739.SH,002202.SZ,002099.SZ,601727.SH,000069.SZ,000050.SZ,600522.SH,601919.SH,002195.SZ,300123.SZ,600765.SH,002106.SZ,600637.SH,000887.SZ,000776.SZ,002191.SZ,600352.SH",10235.044776040968,-7.801487686059533
20200821,8698.995328951583,neutral,1.0,"000100.SZ,000930.SZ,002425.SZ,002373.SZ,600637.SH,300418.SZ,600873.SH,002340.SZ,600197.SH,000728.SZ,002234.SZ,000069.SZ,600837.SH,601211.SH,600728.SH,000776.SZ,002597.SZ,601688.SH,600073.SH,000568.SZ",10235.044776040968,-15.007745258575664
20200910,8485.157913282992,bear,1.0,"000823.SZ,600582.SH,600089.SH,300418.SZ,601717.SH,600064.SH,002195.SZ,600273.SH,600739.SH,600061.SH,000776.SZ,002217.SZ,600104.SH,000623.SZ,300232.SZ,300296.SZ,601390.SH,600580.SH,600741.SH,002449.SZ",10235.044776040968,-17.09701228522473
20200930,8514.196240979018,neutral,1.0,"601717.SH,000591.SZ,600089.SH,600061.SH,000034.SZ,002531.SZ,300232.SZ,300118.SZ,601668.SH,601636.SH,600971.SH,601058.SH,600273.SH,002202.SZ,601615.SH,300205.SZ,002099.SZ,000930.SZ,300377.SZ,600337.SH",10235.044776040968,-16.81329757433259
20201028,8948.455487729017,neutral,1.0,"000776.SZ,601717.SH,002236.SZ,300418.SZ,000963.SZ,601211.SH,600690.SH,601058.SH,000581.SZ,601919.SH,002373.SZ,600104.SH,600019.SH,000591.SZ,603589.SH,601138.SH,601163.SH,300066.SZ,000100.SZ,300999.SZ",10235.044776040968,-12.570431458430981
20201117,8672.476931737563,neutral,1.0,"601668.SH,300232.SZ,600596.SH,600782.SH,600104.SH,600362.SH,601390.SH,000960.SZ,600017.SH,601318.SH,600737.SH,603599.SH,000651.SZ,601000.SH,601328.SH,000581.SZ,600188.SH,601166.SH,600741.SH,600559.SH",10235.044776040968,-15.266839359229692
20201207,8502.041781610498,neutral,1.0,"000830.SZ,600516.SH,603198.SH,601717.SH,300118.SZ,600559.SH,002299.SZ,600197.SH,000157.SZ,000591.SZ,600623.SH,600765.SH,600782.SH,600887.SH,600741.SH,600864.SH,000963.SZ,002182.SZ,601727.SH,600739.SH",10235.044776040968,-16.9320509323733
20201225,8634.803594301859,neutral,1.0,"000830.SZ,600516.SH,000776.SZ,600089.SH,601668.SH,600068.SH,300118.SZ,000069.SZ,600362.SH,600522.SH,000034.SZ,600580.SH,600197.SH,002202.SZ,000100.SZ,600596.SH,002299.SZ,600497.SH,000060.SZ,600559.SH",10235.044776040968,-15.634921163071851
20210115,8091.091188012038,bull,1.0,"000776.SZ,600516.SH,600737.SH,300118.SZ,601166.SH,000100.SZ,002353.SZ,600827.SH,601138.SH,000488.SZ,600000.SH,600320.SH,002340.SZ,601169.SH,601601.SH,601939.SH,000301.SZ,603698.SH,002673.SZ,000157.SZ",10235.044776040968,-20.947183280015267
20210204,8907.400908330877,neutral,1.0,"600089.SH,600219.SH,002191.SZ,600000.SH,601727.SH,600873.SH,600997.SH,600875.SH,002425.SZ,000581.SZ,002236.SZ,601311.SH,300003.SZ,600015.SH,300383.SZ,600210.SH,601318.SH,601997.SH,002092.SZ,000488.SZ",10235.044776040968,-12.971549189681594
20210303,8495.247983212574,neutral,1.0,"000776.SZ,601688.SH,600516.SH,600219.SH,600522.SH,600873.SH,601390.SH,601328.SH,000960.SZ,601211.SH,600000.SH,600737.SH,600623.SH,601318.SH,600016.SH,600997.SH,600177.SH,601288.SH,600028.SH,601988.SH",10235.044776040968,-16.998428740644624
20210323,8310.434608214431,bear,1.0,"000776.SZ,601211.SH,601688.SH,600873.SH,600522.SH,601328.SH,002048.SZ,601727.SH,600061.SH,000581.SZ,600449.SH,600016.SH,600582.SH,601988.SH,600483.SH,601126.SH,603589.SH,601138.SH,000425.SZ,600271.SH",10235.044776040968,-18.80412064568415
20210413,8194.060452173631,bear,1.0,"002004.SZ,600522.SH,600197.SH,600873.SH,601328.SH,601567.SH,600297.SH,601138.SH,601211.SH,000776.SZ,000823.SZ,601216.SH,000528.SZ,601717.SH,000960.SZ,600061.SH,600000.SH,600879.SH,600587.SH,600618.SH",10235.044776040968,-19.94113722535968
20210506,8743.648819100392,neutral,1.0,"601211.SH,000883.SZ,601328.SH,600328.SH,601311.SH,000060.SZ,600596.SH,600075.SH,601169.SH,600015.SH,601988.SH,600782.SH,000425.SZ,600606.SH,601288.SH,600873.SH,601678.SH,600489.SH,000703.SZ,600582.SH",10235.044776040968,-14.571464899027681
20210526,8387.264159554257,bull,1.0,"000883.SZ,600596.SH,600704.SH,601988.SH,000975.SZ,600919.SH,000560.SZ,002002.SZ,002236.SZ,002726.SZ,000402.SZ,600577.SH,601607.SH,600063.SH,600879.SH,600216.SH,002106.SZ,002408.SZ,600516.SH,601288.SH",10235.044776040968,-18.053468811510694
20210616,8339.754258955374,bear,1.0,"601211.SH,000776.SZ,601186.SH,601328.SH,601668.SH,600271.SH,600879.SH,600060.SH,600015.SH,601288.SH,601688.SH,600487.SH,601390.SH,600061.SH,601988.SH,000823.SZ,601800.SH,600339.SH,601169.SH,300677.SZ",10235.044776040968,-18.517657309348028
20210706,8104.643917794216,neutral,1.0,"600582.SH,601328.SH,601169.SH,600171.SH,600596.SH,002048.SZ,601717.SH,000975.SZ,000960.SZ,601211.SH,002304.SZ,002108.SZ,600489.SH,600587.SH,601828.SH,601377.SH,002396.SZ,600015.SH,601006.SH,002010.SZ",10235.044776040968,-20.814768326502776
